name, temp, time, distance
Mercury,327.04,20000,59992624068.53601
Mercury,327.09,20000,59985236895.18315
Mercury,327.13,20000,59977840291.90057
Mercury,327.18,20000,59970436074.16076
Mercury,327.23,20000,59963026060.510414
Mercury,327.28,20000,59955612072.12981
Mercury,327.33,20000,59948195932.39051
Mercury,327.38,20000,59940779466.411674
Mercury,327.43,20000,59933364500.61485
Mercury,327.48,20000,59925952862.27762
Mercury,327.52,20000,59918546379.08581
Mercury,327.57,20000,59911146878.68476
Mercury,327.62,20000,59903756188.22949
Mercury,327.67,20000,59896376133.93378
Mercury,327.72,20000,59889008540.61854
Mercury,327.77,20000,59881655231.25934
Mercury,327.81,20000,59874318026.53311
Mercury,327.86,20000,59866998744.36452
Mercury,327.91,20000,59859699199.47148
Mercury,327.96,20000,59852421202.910576
Mercury,328.01,20000,59845166561.62187
Mercury,328.05,20000,59837937077.97372
Mercury,328.10,20000,59830734549.30733
Mercury,328.15,20000,59823560767.481346
Mercury,328.20,20000,59816417518.41651
Mercury,328.24,20000,59809306581.640526
Mercury,328.29,20000,59802229729.8332
Mercury,328.34,20000,59795188728.372116
Mercury,328.38,20000,59788185334.87869
Mercury,328.43,20000,59781221298.76502
Mercury,328.47,20000,59774298360.781456
Mercury,328.52,20000,59767418252.56513
Mercury,328.56,20000,59760582696.189476
Mercury,328.61,20000,59753793403.71493
Mercury,328.65,20000,59747052076.741
Mercury,328.70,20000,59740360405.959656
Mercury,328.74,20000,59733720070.71043
Mercury,328.78,20000,59727132738.53714
Mercury,328.83,20000,59720600064.74645
Mercury,328.87,20000,59714123691.96855
Mercury,328.91,20000,59707705249.71983
Mercury,328.95,20000,59701346353.96795
Mercury,329.00,20000,59695048606.69922
Mercury,329.04,20000,59688813595.488716
Mercury,329.08,20000,59682642893.07292
Mercury,329.12,20000,59676538056.92546
Mercury,329.16,20000,59670500628.83562
Mercury,329.20,20000,59664532134.49016
Mercury,329.24,20000,59658634083.05847
Mercury,329.28,20000,59652807966.78109
Mercury,329.31,20000,59647055260.56186
Mercury,329.35,20000,59641377421.56386
Mercury,329.39,20000,59635775888.80925
Mercury,329.42,20000,59630252082.7831
Mercury,329.46,20000,59624807405.04148
Mercury,329.50,20000,59619443237.823814
Mercury,329.53,20000,59614160943.66983
Mercury,329.57,20000,59608961865.04102
Mercury,329.60,20000,59603847323.94693
Mercury,329.63,20000,59598818621.57635
Mercury,329.67,20000,59593877037.93355
Mercury,329.70,20000,59589023831.4797
Mercury,329.73,20000,59584260238.77965
Mercury,329.76,20000,59579587474.15413
Mercury,329.79,20000,59575006729.33754
Mercury,329.82,20000,59570519173.14153
Mercury,329.85,20000,59566125951.12441
Mercury,329.88,20000,59561828185.26653
Mercury,329.91,20000,59557626973.65177
Mercury,329.93,20000,59553523390.15535
Mercury,329.96,20000,59549518484.13793
Mercury,329.99,20000,59545613280.14622
Mercury,330.01,20000,59541808777.6202
Mercury,330.03,20000,59538105950.60709
Mercury,330.06,20000,59534505747.48213
Mercury,330.08,20000,59531009090.676285
Mercury,330.10,20000,59527616876.41107
Mercury,330.13,20000,59524329974.44053
Mercury,330.15,20000,59521149227.80046
Mercury,330.17,20000,59518075452.56502
Mercury,330.19,20000,59515109437.61083
Mercury,330.21,20000,59512251944.388664
Mercury,330.22,20000,59509503706.7027
Mercury,330.24,20000,59506865430.49767
Mercury,330.26,20000,59504337793.653755
Mercury,330.28,20000,59501921445.78946
Mercury,330.29,20000,59499617008.0724
Mercury,330.30,20000,59497425073.03834
Mercury,330.32,20000,59495346204.418274
Mercury,330.33,20000,59493380936.973724
Mercury,330.34,20000,59491529776.34046
Mercury,330.36,20000,59489793198.880455
Mercury,330.37,20000,59488171651.54239
Mercury,330.38,20000,59486665551.73051
Mercury,330.39,20000,59485275287.18221
Mercury,330.39,20000,59484001215.854034
Mercury,330.40,20000,59482843665.81642
Mercury,330.41,20000,59481802935.157104
Mercury,330.41,20000,59480879291.89327
Mercury,330.42,20000,59480072973.892456
Mercury,330.42,20000,59479384188.80226
Mercury,330.43,20000,59478813113.98886
Mercury,330.43,20000,59478359896.48442
Mercury,330.43,20000,59478024652.94337
Mercury,330.44,20000,59477807469.60756
Mercury,330.44,20000,59477708402.28035
Mercury,330.44,20000,59477727476.30962
Mercury,330.43,20000,59477864686.57971
Mercury,330.43,20000,59478119997.512276
Mercury,330.43,20000,59478493343.07611
Mercury,330.43,20000,59478984626.805885
Mercury,330.42,20000,59479593721.82982
Mercury,330.42,20000,59480320470.90623
Mercury,330.41,20000,59481164686.46905
Mercury,330.41,20000,59482126150.682144
Mercury,330.40,20000,59483204615.50253
Mercury,330.39,20000,59484399802.75244
Mercury,330.38,20000,59485711404.20011
Mercury,330.37,20000,59487139081.64944
Mercury,330.36,20000,59488682467.038284
Mercury,330.35,20000,59490341162.54551
Mercury,330.34,20000,59492114740.70668
Mercury,330.33,20000,59494002744.53823
Mercury,330.31,20000,59496004687.67038
Mercury,330.30,20000,59498120054.48839
Mercury,330.29,20000,59500348300.282265
Mercury,330.27,20000,59502688851.40491
Mercury,330.25,20000,59505141105.43851
Mercury,330.24,20000,59507704431.36913
Mercury,330.22,20000,59510378169.7696
Mercury,330.20,20000,59513161632.99033
Mercury,330.18,20000,59516054105.35831
Mercury,330.16,20000,59519054843.383804
Mercury,330.14,20000,59522163075.97521
Mercury,330.12,20000,59525378004.66138
Mercury,330.10,20000,59528698803.82175
Mercury,330.07,20000,59532124620.924065
Mercury,330.05,20000,59535654576.76955
Mercury,330.03,20000,59539287765.745415
