name, temp, time, distance
Venus,804.98,20000,104997522875.11285
Venus,805.00,20000,104994904703.65924
Venus,805.01,20000,104992145595.06586
Venus,805.03,20000,104989245664.64078
Venus,805.05,20000,104986205033.57147
Venus,805.07,20000,104983023828.92293
Venus,805.09,20000,104979702183.63536
Venus,805.11,20000,104976240236.52211
Venus,805.13,20000,104972638132.26724
Venus,805.15,20000,104968896021.42322
Venus,805.18,20000,104965014060.40848
Venus,805.20,20000,104960992411.50467
Venus,805.23,20000,104956831242.85414
Venus,805.25,20000,104952530728.45718
Venus,805.28,20000,104948091048.169
Venus,805.31,20000,104943512387.69702
Venus,805.33,20000,104938794938.59764
Venus,805.36,20000,104933938898.27322
Venus,805.39,20000,104928944469.96884
Venus,805.42,20000,104923811862.76897
Venus,805.46,20000,104918541291.59402
Venus,805.49,20000,104913132977.19695
Venus,805.52,20000,104907587146.15955
Venus,805.56,20000,104901904030.88884
Venus,805.59,20000,104896083869.61324
Venus,805.63,20000,104890126906.37862
Venus,805.66,20000,104884033391.04445
Venus,805.70,20000,104877803579.2796
Venus,805.74,20000,104871437732.55818
Venus,805.78,20000,104864936118.15527
Venus,805.82,20000,104858299009.14247
Venus,805.86,20000,104851526684.38348
Venus,805.90,20000,104844619428.52942
Venus,805.94,20000,104837577532.01413
Venus,805.99,20000,104830401291.04936
Venus,806.03,20000,104823091007.61983
Venus,806.08,20000,104815646989.4781
Venus,806.12,20000,104808069550.13959
Venus,806.17,20000,104800359008.87703
Venus,806.22,20000,104792515690.71526
Venus,806.26,20000,104784539926.42563
Venus,806.31,20000,104776432052.52036
Venus,806.36,20000,104768192411.24672
Venus,806.41,20000,104759821350.58122
Venus,806.47,20000,104751319224.22351
Venus,806.52,20000,104742686391.5902
Venus,806.57,20000,104733923217.80869
Venus,806.62,20000,104725030073.71057
Venus,806.68,20000,104716007335.82523
Venus,806.73,20000,104706855386.37297
Venus,806.79,20000,104697574613.25838
Venus,806.85,20000,104688165410.06317
Venus,806.91,20000,104678628176.03914
Venus,806.96,20000,104668963316.10085
Venus,807.02,20000,104659171240.81827
Venus,807.08,20000,104649252366.40916
Venus,807.14,20000,104639207114.73135
Venus,807.21,20000,104629035913.27487
Venus,807.27,20000,104618739195.15395
Venus,807.33,20000,104608317399.09877
Venus,807.39,20000,104597770969.44719
Venus,807.46,20000,104587100356.13618
Venus,807.52,20000,104576306014.69322
Venus,807.59,20000,104565388406.22739
Venus,807.66,20000,104554347997.4204
Venus,807.73,20000,104543185260.51746
Venus,807.79,20000,104531900673.31792
Venus,807.86,20000,104520494719.16576
Venus,807.93,20000,104508967886.9399
Venus,808.00,20000,104497320671.04433
Venus,808.07,20000,104485553571.39816
Venus,808.15,20000,104473667093.4253
Venus,808.22,20000,104461661748.0442
Venus,808.29,20000,104449538051.65717
Venus,808.37,20000,104437296526.13963
Venus,808.44,20000,104424937698.82927
Venus,808.52,20000,104412462102.5148
Venus,808.59,20000,104399870275.42473
Venus,808.67,20000,104387162761.21584
Venus,808.75,20000,104374340108.96143
Venus,808.83,20000,104361402873.13951
Venus,808.91,20000,104348351613.62071
Venus,808.99,20000,104335186895.6559
Venus,809.07,20000,104321909289.86385
Venus,809.15,20000,104308519372.21841
Venus,809.23,20000,104295017724.03572
Venus,809.32,20000,104281404931.96114
Venus,809.40,20000,104267681587.95586
Venus,809.48,20000,104253848289.28351
Venus,809.57,20000,104239905638.49632
Venus,809.65,20000,104225854243.4214
Venus,809.74,20000,104211694717.14638
Venus,809.83,20000,104197427678.00522
Venus,809.91,20000,104183053749.5636
Venus,810.00,20000,104168573560.60414
Venus,810.09,20000,104153987745.11143
Venus,810.18,20000,104139296942.25679
Venus,810.27,20000,104124501796.38281
Venus,810.36,20000,104109602956.98772
Venus,810.45,20000,104094601078.70944
Venus,810.55,20000,104079496821.30959
Venus,810.64,20000,104064290849.65697
Venus,810.73,20000,104048983833.71114
Venus,810.83,20000,104033576448.50545
Venus,810.92,20000,104018069374.13016
Venus,811.02,20000,104002463295.71501
Venus,811.11,20000,103986758903.41177
Venus,811.21,20000,103970956892.3765
Venus,811.31,20000,103955057962.75142
Venus,811.40,20000,103939062819.64685
Venus,811.50,20000,103922972173.12256
Venus,811.60,20000,103906786738.16907
Venus,811.70,20000,103890507234.68872
Venus,811.80,20000,103874134387.47633
Venus,811.90,20000,103857668926.19978
Venus,812.00,20000,103841111585.38026
Venus,812.10,20000,103824463104.3722
Venus,812.21,20000,103807724227.34305
Venus,812.31,20000,103790895703.25278
Venus,812.41,20000,103773978285.83308
Venus,812.52,20000,103756972733.5663
Venus,812.62,20000,103739879809.66411
Venus,812.73,20000,103722700282.04599
Venus,812.83,20000,103705434923.31738
Venus,812.94,20000,103688084510.74744
Venus,813.05,20000,103670649826.24683
Venus,813.16,20000,103653131656.34491
Venus,813.26,20000,103635530792.16693
Venus,813.37,20000,103617848029.41066
Venus,813.48,20000,103600084168.32301
Venus,813.59,20000,103582240013.67622
Venus,813.70,20000,103564316374.7438
Venus,813.81,20000,103546314065.27615
Venus,813.92,20000,103528233903.47603
Venus,814.03,20000,103510076711.97346
Venus,814.15,20000,103491843317.80078
Venus,814.26,20000,103473534552.3669
Venus,814.37,20000,103455151251.43163
Venus,814.49,20000,103436694255.07957
Venus,814.60,20000,103418164407.6938
Venus,814.71,20000,103399562557.92906
Venus,814.83,20000,103380889558.68484
Venus,814.95,20000,103362146267.07819
Venus,815.06,20000,103343333544.41594
Venus,815.18,20000,103324452256.16702
Venus,815.29,20000,103305503271.93419
Venus,815.41,20000,103286487465.42543
Venus,815.53,20000,103267405714.42531
Venus,815.65,20000,103248258900.76578
Venus,815.77,20000,103229047910.29672
Venus,815.89,20000,103209773632.85625
Venus,816.01,20000,103190436962.24065
Venus,816.13,20000,103171038796.17397
Venus,816.25,20000,103151580036.27734
Venus,816.37,20000,103132061588.038
Venus,816.49,20000,103112484360.77792
Venus,816.61,20000,103092849267.62216
Venus,816.73,20000,103073157225.46689
Venus,819.00,182030,102708126367.30206
Venus,821.29,182030,102340306802.3477
Venus,823.61,182030,101971179339.13884
Venus,825.94,182030,101602262675.12935
Venus,828.27,182030,101235108003.2251
Venus,830.59,182030,100871292943.58902
Venus,832.89,182030,100512414786.29114
Venus,835.16,182030,100160083041.7622
Venus,837.39,182030,99815911309.32933
Venus,839.57,182030,99481508489.26822
Venus,841.68,182030,99158469380.60284
Venus,843.72,182030,98848364725.01399
Venus,845.68,182030,98552730776.25275
Venus,847.53,182030,98273058493.85423
Venus,849.28,182030,98010782479.04695
Venus,850.91,182030,97767269788.80618
Venus,852.41,182030,97543808780.17816
Venus,853.77,182030,97341598150.45511
Venus,854.99,182030,97161736348.66524
Venus,856.05,182030,97005211539.38832
Venus,856.95,182030,96872892300.46454
Venus,857.68,182030,96765519696.09593
Venus,858.23,182030,96683699095.27649
Venus,858.61,182030,96627894475.3562
Venus,858.81,182030,96598423687.48793
Venus,858.83,182030,96595455178.70088
Venus,858.67,182030,96619006242.2068
Venus,858.33,182030,96668942834.51718
Venus,857.82,182030,96744980963.40582
Venus,857.12,182030,96846689616.04793
Venus,856.26,182030,96973495163.17307
Venus,855.24,182030,97124687144.07503
Venus,854.06,182030,97299425309.974
Venus,852.73,182030,97496747780.44826
Venus,851.26,182030,97715580150.11693
Venus,849.65,182030,97954745370.83826
Venus,847.93,182030,98212974228.48543
Venus,846.10,182030,98488916232.69226
Venus,844.17,182030,98781150742.4056
Venus,842.14,182030,99088198159.02925
Venus,840.04,182030,99408531031.64915
Venus,837.88,182030,99740584934.45978
Venus,835.66,182030,100082768595.8652
Venus,833.40,182030,100433474842.74814
Venus,831.10,182030,100791089671.6611
Venus,828.78,182030,101154001183.52257
Venus,826.45,182030,101520607870.32364
Venus,824.12,182030,101889326224.70644
Venus,821.80,182030,102258597658.82336
Venus,819.50,182030,102626894732.63159
Venus,817.23,182030,102992726703.60359
Venus,814.99,182030,103354644419.7177
Venus,812.80,182030,103711244585.5843
Venus,810.66,182030,104061173437.77693
Venus,808.58,182030,104403129870.03526
Venus,806.56,182030,104735868052.18985
Venus,804.62,182030,105058199588.63148
Venus,802.75,182030,105368995263.06534
Venus,800.97,182030,105667186416.11443
Venus,799.27,182030,105951766000.75993
Venus,797.67,182030,106221789357.38095
Venus,796.17,182030,106476374746.13669
Venus,794.76,182030,106714703671.87254
Venus,793.47,182030,106936021036.78397
Venus,792.27,182030,107139635156.44154
Venus,791.19,182030,107324917672.59044
Venus,790.22,182030,107491303391.69644
Venus,789.37,182030,107638290073.65453
Venus,788.63,182030,107765438191.51387
Venus,788.01,182030,107872370680.33495
Venus,787.52,182030,107958772690.91666
Venus,787.14,182030,108024391361.85432
Venus,786.88,182030,108069035621.13164
Venus,786.74,182030,108092576026.2153
Venus,786.73,182030,108094944649.41899
Venus,786.84,182030,108076135013.13817
Venus,787.07,182030,108036202077.42197
Venus,787.42,182030,107975262280.22961
Venus,787.89,182030,107893493628.59932
Venus,788.48,182030,107791135836.81775
Venus,789.20,182030,107668490505.49896
Venus,790.02,182030,107525921333.24504
Venus,790.97,182030,107363854350.24838
Venus,792.02,182030,107182778160.79724
Venus,793.19,182030,106983244179.149
Venus,794.46,182030,106765866840.63695
Venus,795.84,182030,106531323767.17873
Venus,797.32,182030,106280355863.56416
Venus,798.90,182030,106013767318.04013
Venus,800.58,182030,105732425477.8043
Venus,802.34,182030,105437260567.11287
Venus,804.19,182030,105129265212.85216
Venus,806.11,182030,104809493739.68987
Venus,808.11,182030,104479061194.39456
Venus,810.18,182030,104139142056.69484
Venus,812.31,182030,103790968592.26105
Venus,814.49,182030,103435828802.1717
Venus,816.72,182030,103075063922.72792
Venus,818.99,182030,102710065429.87146
Venus,821.28,182030,102342271503.92659
Venus,823.60,182030,101973162913.11055
Venus,825.92,182030,101604258278.4271
Venus,828.25,182030,101237108688.3485
Venus,830.57,182030,100873291639.25089
Venus,832.88,182030,100514404287.01338
Venus,835.15,182030,100162056006.57787
Venus,837.38,182030,99817860269.58607
Venus,839.56,182030,99483425865.36772
Venus,841.67,182030,99160347507.35175
Venus,843.71,182030,98850195885.10645
Venus,845.66,182030,98554507241.25542
Venus,847.52,182030,98274772571.92331
Venus,849.27,182030,98012426568.4748
Venus,850.90,182030,97768836436.37308
Venus,852.40,182030,97545290743.17664
Venus,853.76,182030,97342988461.15834
Venus,854.98,182030,97163028379.93536
Venus,856.04,182030,97006399070.06564
Venus,856.94,182030,96873969579.154
Venus,857.67,182030,96766481037.14613
Venus,858.23,182030,96684539336.9373
Venus,858.61,182030,96628609508.43501
Venus,858.81,182030,96599010103.57924
Venus,858.83,182030,96595910307.73888
Venus,858.67,182030,96619328181.49747
Venus,858.33,182030,96669130468.71172
Venus,857.81,182030,96745033975.09615
Venus,857.12,182030,96846608486.878
Venus,856.26,182030,96973281165.55487
Venus,855.24,182030,97124342323.77374
Venus,854.06,182030,97298952459.97778
Venus,852.73,182030,97496150406.66592
Venus,851.26,182030,97714862429.55031
Venus,849.66,182030,97953912102.95653
Venus,847.94,182030,98212030780.58871
Venus,846.11,182030,98487868480.10065
Venus,844.17,182030,98780005004.37424
Venus,842.15,182030,99086961131.42795
Venus,840.05,182030,99407209717.76427
Venus,837.89,182030,99739186575.93149
Venus,835.67,182030,100081301005.19536
Venus,833.41,182030,100431945873.22333
Venus,831.11,182030,100789506767.3885
Venus,828.79,182030,101152371810.36989
Venus,826.46,182030,101518939491.4822
Venus,824.14,182030,101887626276.22289
Venus,821.82,182030,102256873518.63835
Venus,819.51,182030,102625153682.18794
Venus,817.24,182030,102990975885.16925
Venus,815.00,182030,103352890793.39062
Venus,812.81,182030,103709494888.9038
Venus,810.67,182030,104059434149.55313
Venus,808.59,182030,104401407179.03445
Venus,806.57,182030,104734167830.6256
Venus,804.63,182030,105056527369.76566
Venus,802.76,182030,105367356221.43044
Venus,800.98,182030,105665585348.0101
Venus,799.28,182030,105950207302.35898
Venus,797.68,182030,106220276999.03189
Venus,796.18,182030,106474912244.60309
Venus,794.77,182030,106713294065.51114
Venus,793.47,182030,106934666869.19362
Venus,792.28,182030,107138338471.45924
Venus,791.20,182030,107323680020.16441
Venus,790.23,182030,107490125842.37299
Venus,789.38,182030,107637173239.32312
Venus,788.64,182030,107764382250.73668
Venus,788.02,182030,107871375407.30261
Venus,787.52,182030,107957837487.55673
Venus,787.14,182030,108023515292.87192
Venus,786.88,182030,108068217451.85756
Venus,786.75,182030,108091814263.1432
Venus,786.73,182030,108094237583.26944
Venus,786.84,182030,108075480764.22029
Venus,787.07,182030,108035598642.98448
Venus,787.42,182030,107974707583.41055
Venus,787.90,182030,107892985568.5025
Venus,788.49,182030,107790672339.16989
Venus,789.20,182030,107668069573.27783
Venus,790.03,182030,107525541096.62198
Venus,790.97,182030,107363513115.1635
Venus,792.02,182030,107182474455.48462
Venus,793.19,182030,106982976797.9593
Venus,794.46,182030,106765634884.56311
Venus,795.84,182030,106531126680.57822
Venus,797.33,182030,106280193466.684
Venus,798.91,182030,106013639835.07993
Venus,800.58,182030,105732333560.39145
Venus,802.34,182030,105437205313.20016
Venus,804.19,182030,105129248181.17067
Venus,806.11,182030,104809516959.98761
Venus,808.11,182030,104479127173.74947
Venus,810.18,182030,104139253782.19437
Venus,812.31,182030,103791129530.27283
Venus,814.49,182030,103436042894.26715
Venus,816.72,182030,103075335578.04233
Venus,818.98,182030,102710399513.26372
Venus,821.28,182030,102342673318.72295
Venus,823.59,182030,101973638176.47583
Venus,825.92,182030,101604813086.53479
Venus,828.25,182030,101237749467.60638
Venus,830.57,182030,100874025079.05391
Venus,832.87,182030,100515237249.11421
Venus,835.14,182030,100162995406.54332
Venus,837.37,182030,99818912927.3057
Venus,839.55,182030,99484598324.40619
Venus,841.66,182030,99161645826.95029
Venus,843.70,182030,98851625413.21855
Venus,845.65,182030,98556072381.10149
Venus,847.51,182030,98276476557.01585
Venus,849.26,182030,98014271261.12291
Venus,850.89,182030,97770822162.2785
Venus,852.39,182030,97547416170.59915
Venus,853.75,182030,97345250528.38898
Venus,854.96,182030,97165422270.53813
Venus,856.02,182030,97008918232.19582
Venus,856.92,182030,96876605783.41113
