name, temp, time, distance
Earth,57.65,20000,149998824167.16428
Earth,57.65,20000,149997655218.30243
Earth,57.65,20000,149996493172.0015
Earth,57.65,20000,149995338046.7484
Earth,57.66,20000,149994189860.92966
Earth,57.66,20000,149993048632.8309
Earth,57.66,20000,149991914380.6365
Earth,57.66,20000,149990787122.42935
Earth,57.66,20000,149989666876.1901
Earth,57.66,20000,149988553659.79727
Earth,57.67,20000,149987447491.02628
Earth,57.67,20000,149986348387.54944
Earth,57.67,20000,149985256366.93524
Earth,57.67,20000,149984171446.64816
Earth,57.67,20000,149983093644.0481
Earth,57.68,20000,149982022976.3897
Earth,57.68,20000,149980959460.82248
Earth,57.68,20000,149979903114.3897
Earth,57.68,20000,149978853954.02838
Earth,57.68,20000,149977811996.5685
Earth,57.69,20000,149976777258.73285
Earth,57.69,20000,149975749757.13608
Earth,57.69,20000,149974729508.2848
Earth,57.69,20000,149973716528.57654
Earth,57.69,20000,149972710834.29956
Earth,57.69,20000,149971712441.6324
Earth,57.70,20000,149970721366.64316
Earth,57.70,20000,149969737625.28912
Earth,57.70,20000,149968761233.41626
Earth,57.70,20000,149967792206.75864
Earth,57.70,20000,149966830560.9381
Earth,57.70,20000,149965876311.4636
Earth,57.71,20000,149964929473.73065
Earth,57.71,20000,149963990063.021
Earth,57.71,20000,149963058094.50204
Earth,57.71,20000,149962133583.2263
Earth,57.71,20000,149961216544.1309
Earth,57.71,20000,149960306992.03714
Earth,57.72,20000,149959404941.64996
Earth,57.72,20000,149958510407.55746
Earth,57.72,20000,149957623404.23044
Earth,57.72,20000,149956743946.0218
Earth,57.72,20000,149955872047.16617
Earth,57.72,20000,149955007721.7794
Earth,57.72,20000,149954150983.85812
Earth,57.73,20000,149953301847.27914
Earth,57.73,20000,149952460325.79916
Earth,57.73,20000,149951626433.0541
Earth,57.73,20000,149950800182.55896
Earth,57.73,20000,149949981587.70694
Earth,57.73,20000,149949170661.76944
Earth,57.73,20000,149948367417.8952
Earth,57.74,20000,149947571869.11026
Earth,57.74,20000,149946784028.31723
Earth,57.74,20000,149946003908.29504
Earth,57.74,20000,149945231521.6985
Earth,57.74,20000,149944466881.05765
Earth,57.74,20000,149943709998.7779
Earth,57.74,20000,149942960887.13898
Earth,57.74,20000,149942219558.29514
Earth,57.75,20000,149941486024.2742
Earth,57.75,20000,149940760296.97772
Earth,57.75,20000,149940042388.18036
Earth,57.75,20000,149939332309.5294
Earth,57.75,20000,149938630072.5446
Earth,57.75,20000,149937935688.61783
Earth,57.75,20000,149937249169.0126
Earth,57.75,20000,149936570524.8639
Earth,57.76,20000,149935899767.17764
Earth,57.76,20000,149935236906.8306
Earth,57.76,20000,149934581954.5699
Earth,57.76,20000,149933934921.01285
Earth,57.76,20000,149933295816.64658
Earth,57.76,20000,149932664651.8277
Earth,57.76,20000,149932041436.78214
Earth,57.76,20000,149931426181.60474
Earth,57.76,20000,149930818896.2591
Earth,57.77,20000,149930219590.57724
Earth,57.77,20000,149929628274.2594
Earth,57.77,20000,149929044956.87372
Earth,57.77,20000,149928469647.85602
Earth,57.77,20000,149927902356.5097
Earth,57.77,20000,149927343092.00528
Earth,57.77,20000,149926791863.38034
Earth,57.77,20000,149926248679.53925
Earth,57.77,20000,149925713549.25302
Earth,57.77,20000,149925186481.15894
Earth,57.77,20000,149924667483.76062
Earth,57.78,20000,149924156565.42758
Earth,57.78,20000,149923653734.3952
Earth,57.78,20000,149923158998.76453
Earth,57.78,20000,149922672366.50208
Earth,57.78,20000,149922193845.43958
Earth,57.78,20000,149921723443.27402
Earth,57.78,20000,149921261167.56735
Earth,57.78,20000,149920807025.74634
Earth,57.78,20000,149920361025.10248
Earth,57.78,20000,149919923172.79187
Earth,57.78,20000,149919493475.835
Earth,57.78,20000,149919071941.1166
Earth,57.79,20000,149918658575.38577
Earth,57.79,20000,149918253385.25555
Earth,57.79,20000,149917856377.20297
Earth,57.79,20000,149917467557.56888
Earth,57.79,20000,149917086932.558
Earth,57.79,20000,149916714508.23865
Earth,57.79,20000,149916350290.54266
Earth,57.79,20000,149915994285.26544
Earth,57.79,20000,149915646498.06573
Earth,57.79,20000,149915306934.4657
Earth,57.79,20000,149914975599.85062
Earth,57.79,20000,149914652499.46912
Earth,57.79,20000,149914337638.43277
Earth,57.79,20000,149914031021.71637
Earth,57.79,20000,149913732654.15768
Earth,57.79,20000,149913442540.4573
Earth,57.79,20000,149913160685.179
Earth,57.80,20000,149912887092.74905
Earth,57.80,20000,149912621767.4569
Earth,57.80,20000,149912364713.45462
Earth,57.80,20000,149912115934.75702
Earth,57.80,20000,149911875435.24173
Earth,57.80,20000,149911643218.64902
Earth,57.80,20000,149911419288.5819
Earth,57.80,20000,149911203648.50604
Earth,57.80,20000,149910996301.74973
Earth,57.80,20000,149910797251.50394
Earth,57.80,20000,149910606500.8223
Earth,57.80,20000,149910424052.621
Earth,57.80,20000,149910249909.67902
Earth,57.80,20000,149910084074.6378
Earth,57.80,20000,149909926550.00156
Earth,57.80,20000,149909777338.13712
Earth,57.80,20000,149909636441.27396
Earth,57.80,20000,149909503861.5043
Earth,57.80,20000,149909379600.78302
Earth,57.80,20000,149909263660.92773
Earth,57.80,20000,149909156043.61884
Earth,57.80,20000,149909056750.39944
Earth,57.80,20000,149908965782.67554
Earth,57.80,20000,149908883141.71585
Earth,57.80,20000,149908808828.65213
Earth,57.80,20000,149908742844.47897
Earth,57.80,20000,149908685190.0539
Earth,57.80,20000,149908635866.09744
Earth,57.80,20000,149908594873.19327
Earth,57.80,20000,149908562211.78802
Earth,57.80,20000,149908537882.19156
Earth,57.80,20000,149908521884.57693
Earth,57.80,20000,149908514218.9805
Earth,57.80,20000,149908514885.30185
Earth,57.80,20000,149908523883.30405
Earth,57.80,20000,149908541212.6135
Earth,57.80,20000,149908566872.72025
Earth,57.80,20000,149908600862.9778
Earth,57.80,20000,149908643182.60345
Earth,57.80,20000,149908693830.67813
Earth,57.80,20000,149908752806.1465
Earth,57.95,182030,149822700482.61957
Earth,58.10,182030,149737514416.4066
Earth,58.24,182030,149653307422.23477
Earth,58.39,182030,149570191380.5442
Earth,58.53,182030,149488277078.91663
Earth,58.67,182030,149407674052.8474
Earth,58.81,182030,149328490426.16748
Earth,58.94,182030,149250832751.44748
Earth,59.07,182030,149174805850.73346
Earth,59.20,182030,149100512656.97433
Earth,59.33,182030,149028054056.50378
Earth,59.45,182030,148957528732.93683
Earth,59.57,182030,148889033012.83197
Earth,59.69,182030,148822660713.46252
Earth,59.80,182030,148758502993.0317
Earth,59.91,182030,148696648203.66434
Earth,60.01,182030,148637181747.50693
Earth,60.11,182030,148580185936.2738
Earth,60.21,182030,148525739854.5815
Earth,60.30,182030,148473919227.4187
Earth,60.38,182030,148424796292.10486
Earth,60.46,182030,148378439675.08847
Earth,60.54,182030,148334914273.93475
Earth,60.61,182030,148294281144.84558
Earth,60.68,182030,148256597396.04453
Earth,60.74,182030,148221916087.34732
Earth,60.79,182030,148190286136.22327
Earth,60.84,182030,148161752230.63626
Earth,60.89,182030,148136354748.93597
Earth,60.93,182030,148114129687.05002
Earth,60.96,182030,148095108593.20956
Earth,60.99,182030,148079318510.41983
Earth,61.01,182030,148066781926.8711
Earth,61.03,182030,148057516734.46747
Earth,61.04,182030,148051536195.63953
Earth,61.04,182030,148048848918.59357
Earth,61.04,182030,148049458841.1365
Earth,61.03,182030,148053365223.18558
Earth,61.02,182030,148060562648.01022
Earth,61.00,182030,148071041032.14685
Earth,60.98,182030,148084785643.78702
Earth,60.95,182030,148101777452.6235
Earth,60.91,182030,148121992564.99527
Earth,60.87,182030,148145402539.93286
Earth,60.83,182030,148171974438.93903
Earth,60.77,182030,148201670883.6178
Earth,60.72,182030,148234450121.198
Earth,60.65,182030,148270266097.85303
Earth,60.59,182030,148309068539.58087
Earth,60.51,182030,148350803040.32602
Earth,60.43,182030,148395411156.993
Earth,60.35,182030,148442830511.00095
Earth,60.26,182030,148492994896.0415
Earth,60.17,182030,148545834391.71674
Earth,60.07,182030,148601275482.747
Earth,59.97,182030,148659241183.4464
Earth,59.87,182030,148719651167.16382
Earth,59.76,182030,148782421900.38315
Earth,59.64,182030,148847466781.164
Earth,59.53,182030,148914696281.5899
Earth,59.41,182030,148984018093.87424
Earth,59.28,182030,149055337279.762
Earth,59.15,182030,149128556422.85352
Earth,59.02,182030,149203575783.47308
Earth,58.89,182030,149280293455.70483
Earth,58.75,182030,149358605526.2221
Earth,58.62,182030,149438406234.5446
Earth,58.48,182030,149519588134.3681
Earth,58.33,182030,149602042255.6215
Earth,58.19,182030,149685658266.91925
Earth,58.04,182030,149770324638.08966
Earth,57.89,182030,149855928802.4718
Earth,57.74,182030,149942357318.6872
Earth,57.59,182030,150029496031.60568
Earth,57.44,182030,150117230232.23755
Earth,57.29,182030,150205444816.29785
Earth,57.14,182030,150294024441.2018
Earth,56.99,182030,150382853681.26508
Earth,56.83,182030,150471817180.8951
Earth,56.68,182030,150560799805.5752
Earth,56.53,182030,150649686790.4567
Earth,56.38,182030,150738363886.38876
Earth,56.23,182030,150826717503.23093
Earth,56.07,182030,150914634850.30722
Earth,55.93,182030,151002004073.8758
Earth,55.78,182030,151088714391.50388
Earth,55.63,182030,151174656223.25012
Earth,55.49,182030,151259721319.5734
Earth,55.34,182030,151343802885.89908
Earth,55.20,182030,151426795703.7874
Earth,55.06,182030,151508596248.66122
Earth,54.93,182030,151589102804.06207
Earth,54.79,182030,151668215572.41705
Earth,54.66,182030,151745836782.3133
Earth,54.53,182030,151821870792.29523
Earth,54.41,182030,151896224191.21255
Earth,54.28,182030,151968805895.1431
Earth,54.16,182030,152039527240.866
Earth,54.05,182030,152108302075.75244
Earth,53.93,182030,152175046843.81458
Earth,53.83,182030,152239680667.61386
Earth,53.72,182030,152302125425.8734
Earth,53.62,182030,152362305826.90848
Earth,53.52,182030,152420149478.19727
Earth,53.43,182030,152475586681.5541
Earth,53.34,182030,152528551085.92502
Earth,53.25,182030,152578979429.34436
Earth,53.17,182030,152626811595.30157
Earth,53.10,182030,152671990665.93842
Earth,53.03,182030,152714462972.06744
Earth,52.96,182030,152754178140.0156
Earth,52.90,182030,152791089135.30466
Earth,52.84,182030,152825152303.18942
Earth,52.79,182030,152856327406.0764
Earth,52.74,182030,152884577657.84894
Earth,52.70,182030,152909869755.12415
Earth,52.66,182030,152932173905.4659
Earth,52.63,182030,152951463852.57767
Earth,52.60,182030,152967716898.4957
Earth,52.58,182030,152980913922.80228
Earth,52.56,182030,152991039398.8735
Earth,52.55,182030,152998081407.17462
Earth,52.54,182030,153002031645.61148
Earth,52.54,182030,153002885436.94266
Earth,52.55,182030,153000641733.25262
